# Time(s)	M1_INC_Duty(%)	M1_INC_Duty(D)	M2_Fuzzy_Duty(%)	M2_Fuzzy_Duty(D)	M1_Pin(W)	M2_Pin(W)	Target_GMPP(W)
0.0000	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.1223	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.2446	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.3670	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.4893	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.6116	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.7339	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.8563	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
0.9786	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.1009	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.2232	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.3456	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.4679	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.5902	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.7125	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.8349	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
1.9572	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.0795	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.2018	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.3242	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.4465	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.5688	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.6911	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.8135	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
2.9358	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.0581	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.1804	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.3028	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.4251	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.5474	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.6697	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.7920	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
3.9144	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.0367	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.1590	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.2813	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.4037	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.5260	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.6483	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.7706	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
4.8930	10.00	0.1000	10.00	0.1000	0.00	0.00	142.53
5.0153	10.40	0.1040	10.00	0.1000	0.00	0.00	142.53
5.1376	10.40	0.1040	10.00	0.1000	0.00	0.00	142.53
5.2599	9.69	0.0969	10.00	0.1000	0.61	0.00	142.53
5.3823	11.35	0.1135	10.35	0.1035	11.59	1.83	142.53
5.5046	12.18	0.1218	10.67	0.1067	17.07	3.66	142.53
5.6269	14.09	0.1409	11.09	0.1109	24.39	6.10	142.53
5.7492	15.01	0.1501	11.60	0.1160	30.49	9.15	142.53
5.8716	15.65	0.1565	12.10	0.1210	34.76	12.20	142.53
5.9939	15.93	0.1593	12.60	0.1260	36.59	15.24	142.53
6.1162	15.22	0.1522	13.09	0.1309	37.20	18.29	142.53
6.2385	15.22	0.1522	13.68	0.1368	37.20	21.95	142.53
6.3609	15.40	0.1540	14.06	0.1406	38.41	24.39	142.53
6.4832	16.30	0.1630	14.54	0.1454	39.02	27.44	142.53
6.6055	16.39	0.1639	14.93	0.1493	39.63	29.88	142.53
6.7278	16.39	0.1639	15.50	0.1550	39.63	33.54	142.53
6.8502	15.87	0.1587	15.97	0.1597	41.46	36.59	142.53
6.9725	16.05	0.1605	16.44	0.1644	42.68	39.63	142.53
7.0948	16.05	0.1605	17.20	0.1720	42.68	44.51	142.53
7.2171	16.94	0.1694	17.48	0.1748	43.29	46.34	142.53
7.3394	16.94	0.1694	17.76	0.1776	43.29	48.17	142.53
7.4618	16.94	0.1694	18.04	0.1804	43.29	50.00	142.53
7.5841	16.76	0.1676	18.31	0.1831	42.07	51.83	142.53
7.7064	15.87	0.1587	18.59	0.1859	41.46	53.66	142.53
7.8287	15.77	0.1577	18.96	0.1896	40.85	56.10	142.53
7.9511	15.59	0.1559	19.33	0.1933	39.63	58.54	142.53
8.0734	16.20	0.1620	19.61	0.1961	38.41	60.37	142.53
8.1957	16.02	0.1602	19.89	0.1989	37.20	62.20	142.53
8.3180	15.56	0.1556	20.25	0.2025	34.15	64.63	142.53
8.4404	14.48	0.1448	20.62	0.2062	32.32	67.07	142.53
8.5627	14.30	0.1430	20.90	0.2090	31.10	68.90	142.53
8.6850	14.12	0.1412	21.26	0.2126	29.88	71.34	142.53
8.8073	14.73	0.1473	21.54	0.2154	28.66	73.17	142.53
8.9297	14.64	0.1464	21.81	0.2181	28.05	75.00	142.53
9.0520	14.64	0.1464	22.27	0.2227	28.05	78.05	142.53
9.1743	14.64	0.1464	22.54	0.2254	28.05	79.88	142.53
9.2966	13.84	0.1384	22.90	0.2290	28.05	82.32	142.53
9.4190	13.84	0.1384	23.27	0.2327	28.05	84.76	142.53
9.5413	13.84	0.1384	23.63	0.2363	28.05	87.20	142.53
9.6636	14.55	0.1455	23.99	0.2399	27.44	89.63	142.53
9.7859	14.45	0.1445	24.44	0.2444	26.83	92.68	142.53
9.9083	14.36	0.1436	24.71	0.2471	26.22	94.51	142.53
10.0306	13.56	0.1356	24.98	0.2498	26.22	96.34	142.53
10.1529	13.56	0.1356	25.25	0.2525	26.22	98.17	142.53
10.2752	13.56	0.1356	25.52	0.2552	26.22	100.00	142.53
10.3976	13.56	0.1356	25.84	0.2584	26.22	102.16	142.53
10.5199	14.36	0.1436	26.16	0.2616	26.22	104.33	142.53
10.6422	14.64	0.1464	26.48	0.2648	28.05	106.49	142.53
10.7645	14.73	0.1473	26.80	0.2680	28.66	108.65	142.53
10.8869	13.93	0.1393	27.01	0.2701	28.66	110.09	142.53
11.0092	13.93	0.1393	27.22	0.2722	28.66	111.53	142.53
11.1315	13.93	0.1393	27.43	0.2743	28.66	112.98	142.53
11.2538	14.73	0.1473	27.64	0.2764	28.66	114.42	142.53
11.3761	14.64	0.1464	27.85	0.2785	28.05	115.86	142.53
11.4985	14.55	0.1455	28.17	0.2817	27.44	118.02	142.53
11.6208	13.65	0.1365	28.49	0.2849	26.83	120.18	142.53
11.7431	13.56	0.1356	28.70	0.2870	26.22	121.63	142.53
11.8654	13.56	0.1356	29.01	0.2901	26.22	123.79	142.53
11.9878	13.56	0.1356	29.22	0.2922	26.22	125.23	142.53
12.1101	14.36	0.1436	29.33	0.2933	26.22	125.95	142.53
12.2324	14.45	0.1445	29.54	0.2954	26.83	127.39	142.53
12.3547	14.45	0.1445	29.64	0.2964	26.83	128.11	142.53
