# Time(s)	Duty_Cycle(D)
0.0000	0.3603
0.0054	0.1866
0.0110	0.1996
0.0164	0.3593
0.0221	0.3403
0.0275	0.1996
0.0331	0.1856
0.0385	0.3253
0.0442	0.2086
0.0496	0.1856
0.0552	0.1657
0.0606	0.2255
0.0662	0.2255
0.0716	0.1647
0.0773	0.1657
0.0827	0.2056
0.0883	0.2056
0.0937	0.1836
0.0993	0.1836
0.1047	0.2056
0.1104	0.1896
0.1158	0.1667
0.1214	0.1657
0.1268	0.1896
0.1325	0.2056
0.1379	0.1667
0.1435	0.1717
0.1489	0.2056
0.1545	0.2006
0.1599	0.1717
0.1656	0.1776
0.1710	0.2006
0.1766	0.1936
0.1820	0.1786
0.1876	0.1826
0.1930	0.1926
0.1987	0.1866
0.2097	0.1876
0.2208	0.1866
0.2318	0.1866
0.2372	0.1507
0.2428	0.1497
0.2482	0.3194
0.2539	0.1497
0.2593	0.5000
0.2649	0.5000
0.2703	0.1297
0.2759	0.1297
0.2813	0.5000
0.2870	0.4800
0.2924	0.2106
0.2980	0.2096
0.3034	0.4800
0.3091	0.4601
0.3145	0.1896
0.3201	0.1697
0.3255	0.4411
0.3311	0.4401
0.3365	0.1497
0.3422	0.1497
0.3476	0.4202
0.3532	0.4002
0.3586	0.1497
0.3642	0.1697
0.3696	0.3802
0.3753	0.3802
0.3807	0.1697
0.3863	0.1697
0.3917	0.3792
0.3974	0.2096
0.4028	0.1497
0.4084	0.1297
0.4138	0.2106
0.4194	0.2096
0.4248	0.1297
0.4305	0.1297
0.4359	0.2006
0.4415	0.1707
0.4469	0.1297
0.4525	0.1337
0.4579	0.1707
0.4636	0.1697
0.4690	0.1327
0.4746	0.1297
0.4800	0.1507
0.4857	0.1507
0.4911	0.1297
0.4967	0.1297
0.5021	0.1497
0.5077	0.1507
0.5131	0.1297
0.5188	0.1307
0.5242	0.1517
0.5298	0.1517
0.5352	0.1347
0.5408	0.1357
0.5462	0.1587
0.5519	0.1577
0.5573	0.1417
0.5629	0.1417
0.5683	0.1537
0.5740	0.1537
0.5794	0.1457
0.5850	0.1457
0.5904	0.1547
0.5960	0.1532
0.6071	0.1527
0.6181	0.1522
0.6291	0.1522
0.6402	0.1522
0.6512	0.1522
0.6623	0.1522
0.6733	0.1522
