# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
0.0000	142.53	0.00	0.00
0.1223	142.53	0.00	0.00
0.2446	142.53	0.00	0.00
0.3670	142.53	0.00	0.00
0.4893	142.53	0.00	0.00
0.6116	142.53	0.00	0.00
0.7339	142.53	0.00	0.00
0.8563	142.53	0.00	0.00
0.9786	142.53	0.00	0.00
1.1009	142.53	0.00	0.00
1.2232	142.53	0.00	0.00
1.3456	142.53	0.00	0.00
1.4679	142.53	0.00	0.00
1.5902	142.53	0.00	0.00
1.7125	142.53	0.00	0.00
1.8349	142.53	0.00	0.00
1.9572	142.53	0.00	0.00
2.0795	142.53	0.00	0.00
2.2018	142.53	0.00	0.00
2.3242	142.53	0.00	0.00
2.4465	142.53	0.00	0.00
2.5688	142.53	0.00	0.00
2.6911	142.53	0.00	0.00
2.8135	142.53	0.00	0.00
2.9358	142.53	0.00	0.00
3.0581	142.53	0.00	0.00
3.1804	142.53	0.00	0.00
3.3028	142.53	0.00	0.00
3.4251	142.53	0.00	0.00
3.5474	142.53	0.00	0.00
3.6697	142.53	0.00	0.00
3.7920	142.53	0.00	0.00
3.9144	142.53	0.00	0.00
4.0367	142.53	0.00	0.00
4.1590	142.53	0.00	0.00
4.2813	142.53	0.00	0.00
4.4037	142.53	0.00	0.00
4.5260	142.53	0.00	0.00
4.6483	142.53	0.00	0.00
4.7706	142.53	0.00	0.00
4.8930	142.53	0.00	0.00
5.0153	142.53	0.00	0.00
5.1376	142.53	0.00	0.00
5.2599	142.53	0.61	0.00
5.3823	142.53	11.59	1.83
5.5046	142.53	17.07	3.66
5.6269	142.53	24.39	6.10
5.7492	142.53	30.49	9.15
5.8716	142.53	34.76	12.20
5.9939	142.53	36.59	15.24
6.1162	142.53	37.20	18.29
6.2385	142.53	37.20	21.95
6.3609	142.53	38.41	24.39
6.4832	142.53	39.02	27.44
6.6055	142.53	39.63	29.88
6.7278	142.53	39.63	33.54
6.8502	142.53	41.46	36.59
6.9725	142.53	42.68	39.63
7.0948	142.53	42.68	44.51
7.2171	142.53	43.29	46.34
7.3394	142.53	43.29	48.17
7.4618	142.53	43.29	50.00
7.5841	142.53	42.07	51.83
7.7064	142.53	41.46	53.66
7.8287	142.53	40.85	56.10
7.9511	142.53	39.63	58.54
8.0734	142.53	38.41	60.37
8.1957	142.53	37.20	62.20
8.3180	142.53	34.15	64.63
8.4404	142.53	32.32	67.07
8.5627	142.53	31.10	68.90
8.6850	142.53	29.88	71.34
8.8073	142.53	28.66	73.17
8.9297	142.53	28.05	75.00
9.0520	142.53	28.05	78.05
9.1743	142.53	28.05	79.88
9.2966	142.53	28.05	82.32
9.4190	142.53	28.05	84.76
9.5413	142.53	28.05	87.20
9.6636	142.53	27.44	89.63
9.7859	142.53	26.83	92.68
9.9083	142.53	26.22	94.51
10.0306	142.53	26.22	96.34
10.1529	142.53	26.22	98.17
10.2752	142.53	26.22	100.00
10.3976	142.53	26.22	102.16
10.5199	142.53	26.22	104.33
10.6422	142.53	28.05	106.49
10.7645	142.53	28.66	108.65
10.8869	142.53	28.66	110.09
11.0092	142.53	28.66	111.53
11.1315	142.53	28.66	112.98
11.2538	142.53	28.66	114.42
11.3761	142.53	28.05	115.86
11.4985	142.53	27.44	118.02
11.6208	142.53	26.83	120.18
11.7431	142.53	26.22	121.63
11.8654	142.53	26.22	123.79
11.9878	142.53	26.22	125.23
12.1101	142.53	26.22	125.95
12.2324	142.53	26.83	127.39
12.3547	142.53	26.83	128.11
12.4771	142.53	26.83	128.83
12.5994	142.53	26.22	129.55
12.7217	142.53	25.61	130.28
12.8440	142.53	25.61	131.00
12.9664	142.53	25.61	131.72
13.0887	142.53	25.61	131.72
13.2110	142.53	26.22	132.44
13.3333	142.53	26.83	132.44
13.4557	142.53	27.44	133.16
13.5780	142.53	27.44	133.16
13.7003	142.53	27.44	133.88
13.8226	142.53	27.44	133.88
13.9450	142.53	27.44	133.88
14.0673	142.53	27.44	133.88
14.1896	142.53	28.05	133.88
14.3119	142.53	29.27	134.60
14.4343	142.53	31.10	134.60
14.5566	142.53	35.98	134.60
14.6789	142.53	36.59	134.60
14.8012	142.53	37.20	134.60
14.9235	142.53	37.20	134.60
15.0459	142.53	37.20	134.60
15.1682	142.53	37.20	134.60
15.2905	142.53	37.20	134.60
15.4128	142.53	37.80	134.60
15.5352	142.53	37.80	134.60
15.6575	142.53	37.80	134.70
15.7798	142.53	37.80	134.81
15.9021	142.53	37.80	134.91
16.0245	142.53	37.80	135.01
16.1468	142.53	37.80	135.12
16.2691	142.53	37.80	135.22
16.3914	142.53	37.80	135.32
16.5138	142.53	37.80	135.42
16.6361	142.53	39.02	135.53
16.7584	142.53	39.63	135.63
16.8807	142.53	40.85	135.73
17.0031	142.53	42.07	135.84
17.1254	142.53	42.68	135.94
17.2477	142.53	42.68	136.04
17.3700	142.53	42.68	136.04
17.4924	142.53	42.68	136.04
17.6147	142.53	42.68	136.15
17.7370	142.53	42.68	136.25
17.8593	142.53	42.68	136.35
17.9817	142.53	42.68	136.45
18.1040	142.53	42.68	136.56
18.2263	142.53	43.29	136.66
18.3486	142.53	44.51	136.76
18.4709	142.53	45.12	136.76
18.5933	142.53	45.73	136.76
18.7156	142.53	46.34	136.76
18.8379	142.53	46.95	136.76
18.9602	142.53	47.56	136.87
19.0826	142.53	48.78	136.97
19.2049	142.53	49.39	137.07
19.3272	142.53	51.83	137.28
19.4495	142.53	54.27	137.48
19.5719	142.53	57.93	137.69
19.6942	142.53	59.76	137.90
19.8165	142.53	61.59	138.00
19.9388	142.53	62.20	138.10
20.0612	142.53	67.07	138.31
20.1835	142.53	68.90	138.41
20.3058	142.53	76.83	138.51
20.4281	142.53	84.76	138.72
20.5505	142.53	90.24	138.93
20.6728	142.53	99.39	139.13
20.7951	142.53	103.60	139.34
20.9174	142.53	109.37	139.44
21.0398	142.53	112.98	139.65
21.1621	142.53	115.86	139.85
21.2844	142.53	118.74	139.96
21.4067	142.53	119.46	140.06
21.5291	142.53	119.46	140.16
21.6514	142.53	119.46	140.26
21.7737	142.53	118.02	140.37
21.8960	142.53	116.58	140.37
22.0183	142.53	114.42	140.37
22.1407	142.53	110.09	140.37
22.2630	142.53	107.93	140.37
22.3853	142.53	106.49	140.37
22.5076	142.53	103.60	140.37
22.6300	142.53	102.16	140.26
22.7523	142.53	100.72	140.16
22.8746	142.53	100.00	140.06
22.9969	142.53	97.56	139.96
23.1193	142.53	97.56	139.75
23.2416	142.53	97.56	139.54
23.3639	142.53	97.56	139.34
23.4862	142.53	99.39	139.23
23.6086	142.53	101.44	139.03
23.7309	142.53	107.21	138.82
23.8532	142.53	112.98	138.62
23.9755	142.53	116.58	138.51
24.0979	142.53	120.18	138.41
24.2202	142.53	122.35	138.31
24.3425	142.53	125.23	138.20
24.4648	142.53	126.67	138.20
24.5872	142.53	127.39	138.20
24.7095	142.53	128.11	138.10
24.8318	142.53	128.83	138.00
24.9541	142.53	128.83	137.90
25.0765	142.53	131.72	137.79
25.1988	142.53	131.72	137.69
25.3211	142.53	133.16	137.59
25.4434	142.53	133.16	137.48
25.5657	142.53	133.16	137.48
25.6881	142.53	133.16	137.48
25.8104	142.53	132.44	137.48
25.9327	142.53	131.00	137.48
26.0550	142.53	130.28	137.48
26.1774	142.53	128.83	137.48
26.2997	142.53	128.83	137.48
26.4220	142.53	128.83	137.48
26.5443	142.53	129.55	137.48
26.6667	142.53	128.83	137.59
26.7890	142.53	129.55	137.69
26.9113	142.53	133.88	137.79
27.0336	142.53	134.60	137.90
27.1560	142.53	135.32	138.00
27.2783	142.53	136.04	138.10
27.4006	142.53	136.04	138.20
27.5229	142.53	135.32	138.20
27.6453	142.53	134.60	138.20
27.7676	142.53	134.60	138.20
27.8899	142.53	134.60	138.20
28.0122	142.53	133.88	138.20
28.1346	142.53	133.16	138.20
28.2569	142.53	130.28	138.20
28.3792	142.53	127.39	138.20
28.5015	142.53	124.51	138.20
28.6239	142.53	123.07	138.20
28.7462	142.53	122.35	138.20
28.8685	142.53	122.35	138.20
28.9908	142.53	122.35	138.20
29.1131	142.53	122.35	138.31
29.2355	142.53	125.95	138.41
29.3578	142.53	128.83	138.51
29.4801	142.53	133.16	138.62
29.6024	142.53	135.32	138.72
29.7248	142.53	135.32	138.82
