# Time(s)	Target_GMPP(W)	M1_Standard_INC(W)	M2_INC_Fuzzy(W)
0.0000	138.49	0.00	0.00
0.1223	138.49	0.00	0.00
0.2446	138.49	0.00	0.00
0.3670	138.49	0.00	0.00
0.4893	138.49	0.00	0.00
0.6116	138.49	0.00	0.00
0.7339	138.49	0.00	0.00
0.8563	138.49	0.00	0.00
0.9786	138.49	0.00	0.00
1.1009	138.49	0.00	0.00
1.2232	138.49	0.00	0.00
1.3456	138.49	0.00	0.00
1.4679	138.49	0.00	0.00
1.5902	138.49	0.00	0.00
1.7125	138.49	0.00	0.00
1.8349	138.49	0.00	0.00
1.9572	138.49	0.00	0.00
2.0795	138.49	0.00	0.00
2.2018	138.49	0.00	0.00
2.3242	138.49	0.00	0.00
2.4465	138.49	0.00	0.00
2.5688	138.49	0.00	0.00
2.6911	138.49	0.00	0.00
2.8135	138.49	0.00	0.00
2.9358	138.49	0.00	0.00
3.0581	138.49	0.00	0.00
3.1804	138.49	0.00	0.00
3.3028	138.49	0.00	0.00
3.4251	138.49	0.00	0.00
3.5474	138.49	0.00	0.00
3.6697	138.49	0.00	0.00
3.7920	138.49	0.00	0.00
3.9144	138.49	0.00	0.00
4.0367	138.49	0.00	0.00
4.1590	138.49	0.00	0.00
4.2813	138.49	0.00	0.00
4.4037	138.49	0.00	0.00
4.5260	138.49	0.00	0.00
4.6483	138.49	0.00	0.00
4.7706	138.49	0.00	0.00
4.8930	138.49	0.00	0.00
5.0153	138.49	0.00	0.00
5.1376	138.49	0.00	0.00
5.2599	138.49	0.59	0.00
5.3823	138.49	11.26	1.78
5.5046	138.49	16.59	3.56
5.6269	138.49	23.70	5.93
5.7492	138.49	29.63	8.89
5.8716	138.49	33.77	11.85
5.9939	138.49	35.55	14.81
6.1162	138.49	36.15	17.77
6.2385	138.49	36.15	21.33
6.3609	138.49	37.32	23.70
6.4832	138.49	37.91	26.66
6.6055	138.49	38.51	29.03
6.7278	138.49	38.51	32.59
6.8502	138.49	40.28	35.55
6.9725	138.49	41.47	38.51
7.0948	138.49	41.47	43.25
7.2171	138.49	42.06	45.03
7.3394	138.49	42.06	46.80
7.4618	138.49	42.06	48.58
7.5841	138.49	40.88	50.36
7.7064	138.49	40.28	52.14
7.8287	138.49	39.69	54.51
7.9511	138.49	38.51	56.88
8.0734	138.49	37.32	58.66
8.1957	138.49	36.15	60.44
8.3180	138.49	33.18	62.80
8.4404	138.49	31.40	65.17
8.5627	138.49	30.22	66.95
8.6850	138.49	29.03	69.32
8.8073	138.49	27.85	71.10
8.9297	138.49	27.25	72.87
9.0520	138.49	27.25	75.84
9.1743	138.49	27.25	77.62
9.2966	138.49	27.25	79.99
9.4190	138.49	27.25	82.36
9.5413	138.49	27.25	84.73
9.6636	138.49	26.66	87.09
9.7859	138.49	26.07	90.05
9.9083	138.49	25.48	91.83
10.0306	138.49	25.48	93.61
10.1529	138.49	25.48	95.39
10.2752	138.49	25.48	97.17
10.3976	138.49	25.48	99.26
10.5199	138.49	25.48	101.37
10.6422	138.49	27.25	103.47
10.7645	138.49	27.85	105.57
10.8869	138.49	27.85	106.97
11.0092	138.49	27.85	108.37
11.1315	138.49	27.85	109.78
11.2538	138.49	27.85	111.18
11.3761	138.49	27.25	112.58
11.4985	138.49	26.66	114.67
11.6208	138.49	26.07	116.77
11.7431	138.49	25.48	118.18
11.8654	138.49	25.48	120.28
11.9878	138.49	25.48	121.68
12.1101	138.49	25.48	122.38
12.2324	138.49	26.07	123.78
12.3547	138.49	26.07	124.48
12.4771	138.49	26.07	125.18
12.5994	138.49	25.48	125.88
12.7217	138.49	24.88	126.59
12.8440	138.49	24.88	127.29
12.9664	138.49	24.88	127.99
13.0887	138.49	24.88	127.99
13.2110	138.49	25.48	128.69
13.3333	138.49	26.07	128.69
13.4557	138.49	26.66	129.39
13.5780	138.49	26.66	129.39
13.7003	138.49	26.66	130.09
13.8226	138.49	26.66	130.09
13.9450	138.49	26.66	130.09
14.0673	138.49	26.66	130.09
14.1896	138.49	27.25	130.09
14.3119	138.49	28.44	130.78
14.4343	138.49	30.22	130.78
14.5566	138.49	34.96	130.78
14.6789	138.49	35.55	130.78
14.8012	138.49	36.15	130.78
14.9235	138.49	36.15	130.78
15.0459	138.49	36.15	130.78
15.1682	138.49	36.15	130.78
15.2905	138.49	36.15	130.78
15.4128	138.49	36.73	130.78
