# Time(s)	Target_GMPP(W)	Proposed_Method(W)
0.0000	181.56	19.47
0.0054	181.56	92.52
0.0110	181.56	87.45
0.0165	181.56	19.47
0.0221	181.56	19.89
0.0275	181.56	79.85
0.0331	181.56	100.12
0.0386	181.56	24.54
0.0442	181.56	40.16
0.0496	181.56	102.23
0.0552	181.56	102.23
0.0607	181.56	66.76
0.0663	181.56	66.34
0.0717	181.56	120.38
0.0773	181.56	120.38
0.0828	181.56	79.85
0.0884	181.56	82.38
0.0938	181.56	110.67
0.0994	181.56	110.67
0.1049	181.56	82.38
0.1105	181.56	98.85
0.1159	181.56	114.05
0.1215	181.56	106.87
0.1270	181.56	134.32
0.1326	181.56	134.32
0.1380	181.56	89.14
0.1436	181.56	89.14
0.1491	181.56	128.40
0.1547	181.56	128.83
0.1601	181.56	94.20
0.1657	181.56	94.20
0.1712	181.56	128.40
0.1768	181.56	119.96
0.1822	181.56	95.47
0.1878	181.56	102.23
0.1933	181.56	116.16
0.1989	181.56	115.74
0.2043	181.56	108.14
0.2099	181.56	108.14
0.2154	181.56	114.47
0.2210	181.56	112.78
0.2264	181.56	108.14
0.2320	181.56	112.36
0.2431	181.56	79.85
0.2485	181.56	152.05
0.2541	181.56	152.05
0.2596	181.56	0.05
0.2652	181.56	0.05
0.2706	181.56	103.07
0.2762	181.56	103.07
0.2817	181.56	11.87
0.2873	181.56	11.87
0.2927	181.56	79.85
0.2983	181.56	68.03
0.3038	181.56	27.07
0.3094	181.56	32.14
0.3148	181.56	68.03
0.3204	181.56	85.76
0.3259	181.56	32.14
0.3315	181.56	56.63
0.3369	181.56	102.65
0.3425	181.56	125.45
0.3480	181.56	56.63
0.3536	181.56	5.11
0.3590	181.56	125.45
0.3646	181.56	112.36
0.3701	181.56	5.11
0.3757	181.56	45.23
0.3811	181.56	112.78
0.3867	181.56	125.87
0.3922	181.56	45.65
0.3978	181.56	105.60
0.4032	181.56	154.58
0.4088	181.56	164.29
0.4143	181.56	98.85
0.4199	181.56	93.36
0.4253	181.56	169.78
0.4309	181.56	181.60
0.4364	181.56	92.94
0.4420	181.56	112.36
0.4474	181.56	181.60
0.4530	181.56	181.60
0.4585	181.56	160.07
0.4641	181.56	160.49
0.4695	181.56	182.03
0.4751	181.56	182.03
0.4806	181.56	110.25
0.4862	181.56	97.58
0.4916	181.56	181.60
0.4972	181.56	179.92
0.5027	181.56	97.58
0.5083	181.56	72.67
0.5137	181.56	179.92
0.5193	181.56	181.18
0.5248	181.56	73.09
0.5304	181.56	98.85
0.5358	181.56	181.18
0.5414	181.56	181.60
0.5469	181.56	98.85
0.5525	181.56	160.07
0.5579	181.56	182.03
0.5635	181.56	181.60
0.5690	181.56	174.85
0.5746	181.56	178.65
0.5800	181.56	181.60
0.5856	181.56	182.03
0.5910	181.56	179.07
0.5967	181.56	181.18
0.6077	181.56	181.18
0.6188	181.56	181.39
0.6298	181.56	181.39
0.6409	181.56	181.39
0.6519	181.56	181.39
0.6630	181.56	181.39
0.6740	181.56	181.39
0.6851	181.56	181.39
0.6961	181.56	181.39
0.7072	181.56	181.39
0.7182	181.56	181.39
0.7293	181.56	181.39
0.7403	181.56	181.39
0.7514	181.56	181.39
0.7624	181.56	181.39
0.7735	181.56	181.39
0.7845	181.56	181.39
0.7956	181.56	181.39
0.8066	181.56	181.39
0.8177	181.56	181.39
0.8287	181.56	181.39
0.8398	181.56	181.39
0.8508	181.56	181.39
0.8619	181.56	181.39
0.8729	181.56	181.39
0.8840	181.56	181.39
0.8950	181.56	181.39
0.9061	181.56	181.39
0.9171	181.56	181.39
0.9282	181.56	181.39
0.9392	181.56	181.39
0.9503	181.56	181.39
0.9613	181.56	181.39
0.9724	181.56	181.39
0.9834	181.56	181.39
0.9945	181.56	181.39
1.0055	181.56	181.39
1.0166	181.56	181.39
1.0276	181.56	181.39
1.0387	181.56	181.39
1.0497	181.56	181.39
1.0608	181.56	181.39
1.0718	181.56	181.39
1.0829	181.56	181.39
1.0939	181.56	181.39
1.1050	181.56	181.39
1.1160	181.56	181.39
1.1271	181.56	181.39
1.1381	181.56	181.39
1.1492	181.56	181.39
1.1602	181.56	181.39
1.1713	181.56	181.39
1.1823	181.56	181.39
1.1934	181.56	181.39
1.2044	181.56	181.39
1.2155	181.56	181.39
1.2265	181.56	181.39
1.2376	181.56	181.39
1.2486	181.56	181.39
1.2597	181.56	181.39
1.2707	181.56	181.39
1.2818	181.56	181.39
1.2928	181.56	181.39
1.3039	181.56	181.39
1.3149	181.56	181.39
1.3260	181.56	181.39
1.3370	181.56	181.39
1.3481	181.56	181.39
1.3591	181.56	181.39
1.3702	181.56	181.39
1.3812	181.56	181.39
1.3923	181.56	181.39
1.4033	181.56	181.39
1.4144	181.56	181.39
1.4254	181.56	181.39
1.4365	181.56	181.39
1.4475	181.56	181.39
1.4586	181.56	181.39
1.4696	181.56	181.39
1.4807	181.56	181.39
1.4917	181.56	181.39
1.5028	181.56	181.39
1.5138	181.56	181.39
1.5249	181.56	181.39
1.5359	181.56	181.39
1.5470	181.56	181.39
1.5580	181.56	181.39
1.5691	181.56	181.39
1.5801	181.56	181.39
1.5912	181.56	181.39
1.6022	181.56	181.39
1.6133	181.56	181.39
1.6243	181.56	181.39
1.6354	181.56	181.39
1.6464	181.56	181.39
1.6575	181.56	181.39
1.6685	181.56	181.39
1.6796	181.56	181.39
1.6906	181.56	181.39
1.7017	181.56	181.39
1.7127	181.56	181.39
1.7238	181.56	181.39
1.7348	181.56	181.39
1.7459	181.56	181.39
1.7569	181.56	181.39
1.7680	181.56	181.39
1.7790	181.56	181.39
1.7901	181.56	181.39
1.8011	181.56	181.39
1.8122	181.56	181.39
1.8232	181.56	181.39
1.8343	181.56	181.39
1.8453	181.56	181.39
1.8564	181.56	181.39
1.8674	181.56	181.39
1.8785	181.56	181.39
1.8895	181.56	181.39
1.9006	181.56	181.39
1.9116	181.56	181.39
1.9227	181.56	181.39
1.9337	181.56	181.39
1.9448	181.56	181.39
1.9558	181.56	181.39
1.9669	181.56	181.39
1.9779	181.56	181.39
1.9890	181.56	181.60
1.9944	181.56	153.32
2.0000	156.37	181.60
2.0054	156.37	79.85
2.0110	156.37	155.00
2.0165	156.37	0.05
2.0221	156.37	0.05
2.0275	156.37	72.25
2.0331	156.37	71.83
2.0386	156.37	12.71
2.0442	156.37	13.56
2.0496	156.37	62.11
2.0552	156.37	53.25
2.0607	156.37	18.20
2.0663	156.37	24.54
2.0717	156.37	53.67
2.0773	156.37	66.34
2.0828	156.37	24.54
2.0884	156.37	43.54
2.0938	156.37	78.58
2.0994	156.37	94.20
2.1049	156.37	43.96
2.1105	156.37	5.96
2.1159	156.37	94.20
2.1215	156.37	95.89
2.1270	156.37	5.96
2.1326	156.37	38.47
2.1380	156.37	95.89
2.1436	156.37	95.47
2.1491	156.37	38.89
2.1547	156.37	79.43
2.1601	156.37	101.80
2.1657	156.37	91.25
2.1712	156.37	120.80
2.1768	156.37	130.09
2.1822	156.37	99.27
2.1878	156.37	110.25
2.1933	156.37	133.05
2.1989	156.37	134.32
2.2043	156.37	115.74
2.2099	156.37	115.74
2.2154	156.37	135.16
2.2210	156.37	143.18
2.2264	156.37	120.80
2.2320	156.37	136.85
2.2375	156.37	149.09
2.2431	156.37	149.52
2.2485	156.37	145.29
2.2541	156.37	145.72
2.2596	156.37	148.67
2.2652	156.37	149.52
2.2706	156.37	145.72
2.2762	156.37	149.52
2.2817	156.37	139.80
2.2873	156.37	135.16
2.2927	156.37	149.52
2.2983	156.37	152.05
2.3038	156.37	135.58
2.3094	156.37	145.29
2.3148	156.37	152.89
2.3204	156.37	153.32
2.3259	156.37	147.40
2.3315	156.37	147.83
2.3369	156.37	153.32
2.3425	156.37	151.20
2.3480	156.37	147.83
2.3536	156.37	149.30
2.3646	156.37	150.15
2.3757	156.37	150.15
2.3867	156.37	149.73
2.3978	156.37	149.73
2.4088	156.37	149.73
2.4199	156.37	149.73
2.4309	156.37	149.73
2.4420	156.37	149.73
2.4530	156.37	149.73
2.4641	156.37	149.73
2.4751	156.37	149.73
2.4862	156.37	149.73
2.4972	156.37	149.73
2.5083	156.37	149.73
2.5193	156.37	149.73
2.5304	156.37	149.73
2.5414	156.37	149.73
2.5525	156.37	149.73
2.5635	156.37	149.73
2.5746	156.37	149.73
2.5856	156.37	149.73
2.5967	156.37	149.73
2.6077	156.37	149.73
2.6188	156.37	149.73
2.6298	156.37	149.73
2.6409	156.37	149.73
2.6519	156.37	149.73
2.6630	156.37	149.73
2.6740	156.37	149.73
2.6851	156.37	149.73
2.6961	156.37	149.73
2.7072	156.37	149.73
2.7182	156.37	149.73
2.7293	156.37	149.73
2.7403	156.37	149.73
2.7514	156.37	149.73
2.7624	156.37	149.73
2.7735	156.37	149.73
2.7845	156.37	149.73
2.7956	156.37	149.73
2.8066	156.37	149.73
2.8177	156.37	149.73
2.8287	156.37	149.73
2.8398	156.37	149.73
2.8508	156.37	149.73
2.8619	156.37	149.73
2.8729	156.37	149.73
2.8840	156.37	149.73
2.8950	156.37	149.73
2.9061	156.37	149.73
2.9171	156.37	149.73
2.9282	156.37	149.73
2.9392	156.37	149.73
2.9503	156.37	149.73
2.9613	156.37	149.73
2.9724	156.37	149.73
2.9834	156.37	149.73
2.9945	156.37	149.73
3.0055	156.37	149.73
3.0166	156.37	149.73
3.0276	156.37	149.73
3.0387	156.37	149.73
3.0497	156.37	149.73
3.0608	156.37	149.73
3.0718	156.37	149.73
3.0829	156.37	149.73
3.0939	156.37	149.73
3.1050	156.37	149.73
3.1160	156.37	149.73
3.1271	156.37	149.73
3.1381	156.37	149.73
3.1492	156.37	149.73
3.1602	156.37	149.73
3.1713	156.37	149.73
3.1823	156.37	149.73
3.1934	156.37	149.73
3.2044	156.37	149.73
3.2155	156.37	149.73
3.2265	156.37	149.73
3.2376	156.37	149.73
3.2486	156.37	149.73
3.2597	156.37	149.73
3.2707	156.37	149.73
3.2818	156.37	149.73
3.2928	156.37	149.73
3.3039	156.37	149.73
3.3149	156.37	149.73
3.3260	156.37	149.73
3.3370	156.37	149.73
3.3481	156.37	149.73
3.3591	156.37	149.73
3.3702	156.37	149.73
3.3812	156.37	149.73
3.3923	156.37	149.73
3.4033	156.37	149.73
3.4144	156.37	149.73
3.4254	156.37	149.73
3.4365	156.37	149.73
3.4475	156.37	149.73
3.4586	156.37	149.73
3.4696	156.37	149.73
3.4807	156.37	149.73
3.4917	156.37	149.73
3.5028	156.37	149.73
3.5138	156.37	149.73
3.5249	156.37	149.73
3.5359	156.37	149.73
3.5470	156.37	149.73
3.5580	156.37	149.73
3.5691	156.37	149.73
3.5801	156.37	149.73
3.5912	156.37	149.73
3.6022	156.37	149.73
3.6133	156.37	149.73
3.6243	156.37	149.73
3.6354	156.37	149.73
3.6464	156.37	149.73
3.6575	156.37	149.73
3.6685	156.37	149.73
3.6796	156.37	149.73
3.6906	156.37	149.73
3.7017	156.37	149.73
3.7127	156.37	149.73
3.7238	156.37	149.73
3.7348	156.37	149.73
3.7459	156.37	149.73
3.7569	156.37	149.73
3.7680	156.37	149.73
3.7790	156.37	149.73
3.7901	156.37	149.73
3.8011	156.37	149.73
3.8122	156.37	149.73
3.8232	156.37	149.73
3.8343	156.37	149.73
3.8453	156.37	149.73
3.8564	156.37	149.73
3.8674	156.37	149.73
3.8785	156.37	149.73
3.8895	156.37	149.73
3.9006	156.37	149.73
3.9116	156.37	149.73
3.9227	156.37	149.73
3.9337	156.37	149.73
3.9448	156.37	149.73
3.9558	156.37	149.73
3.9669	156.37	149.73
3.9779	156.37	149.73
3.9890	156.37	149.94
3.9944	156.37	106.87
4.0000	81.50	149.52
4.0054	81.50	0.47
4.0110	81.50	0.05
4.0165	81.50	111.94
4.0221	81.50	55.36
4.0275	81.50	0.05
4.0331	81.50	13.56
4.0386	81.50	55.36
4.0442	81.50	35.09
4.0496	81.50	13.98
4.0552	81.50	23.27
4.0607	81.50	35.09
4.0663	81.50	30.03
4.0717	81.50	23.27
4.0773	81.50	26.23
4.0828	81.50	29.60
4.0884	81.50	27.28
4.0994	81.50	27.49
4.1105	81.50	27.49
4.1215	81.50	27.28
4.1326	81.50	27.49
4.1436	81.50	27.28
4.1547	81.50	27.28
4.1657	81.50	27.28
4.1768	81.50	28.34
4.1878	81.50	27.49
4.1933	81.50	52.83
4.1989	81.50	59.58
4.2043	81.50	33.40
4.2099	81.50	45.65
4.2154	81.50	62.96
4.2210	81.50	68.45
4.2264	81.50	46.49
4.2320	81.50	61.27
4.2375	81.50	68.45
4.2431	81.50	68.87
4.2485	81.50	61.27
4.2541	81.50	61.27
4.2596	81.50	68.45
4.2652	81.50	68.45
4.2706	81.50	62.54
4.2762	81.50	61.69
4.2817	81.50	66.76
4.2873	81.50	61.27
4.2927	81.50	73.09
4.2983	81.50	78.16
4.3038	81.50	64.23
4.3094	81.50	70.98
4.3148	81.50	79.85
4.3204	81.50	79.00
4.3259	81.50	76.05
4.3315	81.50	76.05
4.3369	81.50	79.43
4.3425	81.50	78.58
4.3536	81.50	78.70
4.3646	81.50	79.07
4.3757	81.50	79.45
4.3811	81.50	79.63
4.3867	81.50	79.82
4.3922	81.50	80.00
4.3978	81.50	80.20
4.4032	81.50	80.31
4.4088	81.50	80.26
4.4143	81.50	80.17
4.4199	81.50	80.39
4.4253	81.50	80.44
4.4309	81.50	80.15
4.4364	81.50	80.20
4.4420	81.50	80.11
4.4474	81.50	80.35
4.4530	81.50	80.13
4.4585	81.50	80.27
4.4641	81.50	80.21
4.4751	81.50	80.24
4.4862	81.50	80.22
4.4972	81.50	80.37
4.5083	81.50	80.20
4.5193	81.50	80.32
4.5304	81.50	80.24
4.5414	81.50	80.23
4.5525	81.50	80.39
4.5579	81.50	80.29
4.5635	81.50	80.39
4.5690	81.50	80.37
4.5746	81.50	80.22
4.5800	81.50	80.34
4.5856	81.50	80.31
4.5910	81.50	80.22
4.5967	81.50	80.26
4.6021	81.50	80.34
4.6077	81.50	80.24
4.6131	81.50	80.33
4.6188	81.50	80.15
4.6242	81.50	80.25
4.6298	81.50	80.21
4.6352	81.50	80.26
4.6409	81.50	80.22
4.6463	81.50	80.22
4.6519	81.50	80.23
4.6573	81.50	80.41
4.6630	81.50	80.11
4.6684	81.50	80.30
4.6740	81.50	80.40
4.6794	81.50	80.35
4.6851	81.50	80.28
4.6905	81.50	80.28
4.6961	81.50	80.28
4.7015	81.50	80.31
4.7072	81.50	80.19
4.7126	81.50	80.33
4.7182	81.50	80.31
4.7236	81.50	80.29
4.7293	81.50	80.34
4.7403	81.50	80.36
4.7514	81.50	80.06
4.7624	81.50	80.06
4.7735	81.50	80.06
4.7845	81.50	80.06
4.7956	81.50	80.27
4.8066	81.50	80.27
4.8177	81.50	80.27
4.8287	81.50	80.27
4.8398	81.50	80.27
4.8508	81.50	80.06
4.8619	81.50	80.06
4.8729	81.50	80.06
4.8840	81.50	80.06
4.8950	81.50	80.06
4.9061	81.50	80.27
4.9171	81.50	80.27
4.9282	81.50	80.27
