170.001 40.12	0.00	00.00	0.00	0.00	00.00	00.0	3	00.0
170.422	38.18	0.58	22.07	2.22	1.08	2.39	10.8	3	21.2
170.820	7.68	4.35	33.39	4.43	3.21	14.23	42.6	3	58.7
171.218	29.52	2.12	62.44	6.16	4.86	29.90	47.9	3	15.0
171.617	32.92	1.87	61.39	6.90	5.55	38.29	62.4	3	17.8
172.016	31.56	1.65	52.08	6.00	4.70	28.22	54.2	3	15.0
172.415	32.46	1.47	47.82	5.88	4.62	27.19	56.9	3	15.0
172.814	21.24	2.34	49.68	6.10	4.86	29.63	59.6	3	29.8
173.213	35.96	1.68	60.54	6.97	5.61	39.11	64.6	3	21.2
173.612	32.74	2.18	71.40	7.63	6.23	47.56	66.6	3	19.1
174.011	35.08	2.11	73.84	7.72	6.33	48.93	66.3	3	21.7
174.410	30.92	2.17	67.13	7.36	5.97	43.92	65.4	3	21.2
174.809	31.87	2.22	70.75	7.65	6.23	47.65	67.4	3	22.1
175.208	33.25	2.23	74.26	7.76	6.37	49.40	66.5	3	21.7
175.607	33.12	2.23	74.00	7.79	6.35	49.44	66.8	3	21.7
176.006	32.68	2.18	71.22	7.62	6.24	47.53	66.7	3	21.7
176.405	17.85	2.55	45.61	5.90	4.56	26.91	59.0	3	33.7
176.804	14.97	2.18	32.62	4.60	3.38	15.57	47.7	3	16.7
177.203	35.48	1.19	42.11	5.87	4.56	26.79	63.6	3	16.4
177.602	35.10	1.28	44.98	6.03	4.75	28.67	63.7	3	16.3
178.001	37.05	1.35	49.86	6.40	5.09	32.60	65.4	3	16.8
178.400	37.02	1.36	50.34	6.42	5.13	32.94	65.4	3	16.7
178.799	36.99	1.40	51.95	6.52	5.20	33.94	65.3	3	17.0
179.198	37.00	1.41	52.31	6.56	5.17	33.93	64.9	3	17.0
179.597	36.89	1.41	52.16	6.55	5.17	33.85	64.9	3	17.0
179.996	37.14	1.41	52.50	6.51	5.21	33.92	64.6	3	16.9
180.395	37.12	1.40	51.84	6.51	5.20	33.84	65.3	3	17.0
180.794	37.16	1.39	51.50	6.51	5.20	33.83	65.7	3	17.0
181.193	37.09	1.41	52.13	6.54	5.20	34.00	65.2	3	17.0
181.592	37.14	1.40	52.01	6.53	5.19	33.88	65.1	3	17.0
181.991	37.12	1.41	52.25	6.50	5.20	33.81	64.7	3	17.0
182.390	37.03	1.40	51.88	6.52	5.20	33.87	65.3	3	17.0
182.789	37.03	1.41	52.15	6.51	5.18	33.73	64.7	3	17.0
183.188	37.03	1.40	52.01	6.49	5.21	33.81	65.0	3	17.0
183.587	37.00	1.40	51.95	6.51	5.16	33.59	64.7	3	17.0
183.986	37.01	1.40	51.81	6.55	5.23	34.23	66.1	3	17.0
184.385	37.15	1.41	52.46	6.50	5.18	33.67	64.2	3	17.0
184.784	36.98	1.40	51.82	6.53	5.23	34.10	65.8	3	17.0
185.183	37.09	1.40	52.00	6.50	5.20	33.85	65.1	3	17.0
185.582	37.20	1.41	52.59	6.52	5.20	33.93	64.5	3	17.0
185.981	37.12	1.41	52.39	6.52	5.19	33.85	64.6	3	17.0
186.380	37.11	1.40	52.02	6.50	5.19	33.72	64.8	3	17.0
186.779	37.18	1.40	52.02	6.52	5.18	33.81	65.0	3	17.0
187.178	37.11	1.41	52.35	6.54	5.21	34.06	65.1	3	17.0
187.577	37.05	1.40	51.89	6.51	5.20	33.82	65.2	3	17.0
187.976	37.06	1.40	52.04	6.55	5.20	34.03	65.4	3	17.0
188.375	37.24	1.41	52.38	6.52	5.17	33.71	64.4	3	17.0
188.774	36.99	1.40	51.76	6.50	5.20	33.81	65.3	3	17.0
189.173	37.28	1.40	52.28	6.50	5.17	33.65	64.4	3	17.0
189.572	37.05	1.41	52.26	6.54	5.19	33.96	65.0	3	17.0
189.971	37.04	1.40	51.86	6.52	5.23	34.05	65.7	3	17.0
190.370	37.05	1.40	51.76	6.53	5.19	33.88	65.5	3	17.0
190.769	36.95	1.42	52.35	6.52	5.19	33.82	64.6	3	17.0
191.168	37.09	1.40	52.01	6.55	5.22	34.20	65.8	3	17.0
191.567	37.20	1.40	52.16	6.52	5.20	33.90	65.0	3	17.0
191.966	36.92	1.42	52.45	6.52	5.19	33.85	64.5	3	17.0
192.365	37.07	1.41	52.35	6.51	5.20	33.82	64.6	3	17.0
192.764	36.98	1.42	52.33	6.54	5.20	34.05	65.1	3	17.0
193.163	36.94	1.39	51.48	6.53	5.22	34.08	66.2	3	17.0
193.562	37.09	1.41	52.32	6.51	5.22	33.99	65.0	3	17.0
193.961	36.99	1.41	52.18	6.52	5.19	33.83	64.8	3	17.0
194.360	37.15	1.42	52.72	6.51	5.19	33.81	64.1	3	17.0
194.759	37.27	1.41	52.44	6.49	5.22	33.86	64.6	3	17.0
195.158	37.13	1.41	52.36	6.51	5.21	33.92	64.8	3	17.0
195.557	37.03	1.41	52.37	6.57	5.22	34.30	65.5	3	17.0
195.956	37.04	1.41	52.17	6.53	5.21	34.02	65.2	3	17.0
196.355	37.06	1.41	52.29	6.52	5.22	34.02	65.1	3	17.0
196.754	37.13	1.41	52.47	6.50	5.21	33.90	64.6	3	17.0
197.153	37.20	1.40	51.99	6.51	5.24	34.08	65.5	3	17.0
197.552	37.03	1.40	51.86	6.52	5.21	33.98	65.5	3	17.0
197.951	36.99	1.40	51.76	6.52	5.20	33.89	65.5	3	17.0
198.350	37.14	1.41	52.19	6.51	5.21	33.90	65.0	3	17.0
198.749	36.97	1.40	51.81	6.53	5.21	34.04	65.7	3	17.0
199.148	37.03	1.41	52.03	6.50	5.20	33.84	65.0	3	17.0
199.547	37.14	1.41	52.47	6.54	5.20	34.01	64.8	3	17.0
199.946	37.12	1.39	51.77	6.52	5.21	33.94	65.6	3	17.0
200.345	37.13	1.41	52.23	6.54	5.20	33.96	65.0	3	17.0
200.744	37.10	1.41	52.26	6.53	5.24	34.21	65.4	3	17.0
201.143	37.11	1.42	52.64	6.53	5.19	33.90	64.4	3	17.0
201.542	37.10	1.41	52.19	6.51	5.23	34.01	65.2	3	17.0
201.941	36.94	1.40	51.86	6.53	5.22	34.06	65.7	3	17.0
202.340	37.25	1.42	52.87	6.49	5.17	33.57	63.5	3	17.0
202.739	37.10	1.41	52.23	6.53	5.22	34.11	65.3	3	17.0
203.138	37.16	1.42	52.64	6.52	5.22	34.04	64.7	3	17.0
203.537	36.94	1.41	51.95	6.52	5.23	34.14	65.7	3	17.0
203.936	37.05	1.43	52.95	6.51	5.23	34.03	64.3	3	17.0
204.335	36.93	1.42	52.33	6.53	5.23	34.12	65.2	3	17.0
204.734	37.14	1.41	52.37	6.50	5.22	33.93	64.8	3	17.0
205.133	37.02	1.41	52.10	6.48	5.22	33.84	65.0	3	17.0
205.532	37.07	1.42	52.54	6.50	5.23	33.98	64.7	3	17.0
205.931	36.89	1.41	52.03	6.54	5.24	34.26	65.9	3	17.0
206.330	37.15	1.43	52.96	6.51	5.23	34.03	64.3	3	17.0
206.729	37.18	1.42	52.70	6.48	5.20	33.73	64.0	3	17.0
207.128	37.15	1.41	52.34	6.52	5.22	34.02	65.0	3	17.0
207.527	37.03	1.41	52.27	6.52	5.20	33.88	64.8	3	17.0
207.926	37.00	1.39	51.56	6.52	5.23	34.07	66.1	3	17.0
208.325	36.97	1.42	52.65	6.52	5.23	34.10	64.8	3	17.0
208.724	37.05	1.41	52.20	6.49	5.22	33.85	64.9	3	17.0
209.123	36.97	1.41	52.07	6.48	5.22	33.81	64.9	3	17.0
209.522	37.11	1.41	52.27	6.51	5.21	33.88	64.8	3	17.0
209.921	37.07	1.41	52.38	6.51	5.25	34.17	65.2	3	17.0
210.320	37.08	1.40	51.90	6.54	5.24	34.28	66.0	3	17.0
210.719	37.06	1.41	52.24	6.52	5.21	33.97	65.0	3	17.0
211.118	36.87	1.39	51.22	6.51	5.22	34.01	66.4	3	17.0
211.517	36.93	1.41	51.99	6.55	5.19	34.02	65.4	3	17.0
211.916	36.92	1.41	51.96	6.54	5.22	34.15	65.7	3	17.0
212.315	36.98	1.41	52.22	6.54	5.20	33.97	65.0	3	17.0
212.714	36.93	1.40	51.64	6.52	5.21	33.96	65.8	3	17.0
213.113	37.13	1.41	52.44	6.52	5.21	33.97	64.8	3	17.0
213.512	37.03	1.40	51.90	6.48	5.23	33.92	65.4	3	17.0
213.911	37.09	1.40	52.06	6.55	5.21	34.14	65.6	3	17.0
214.310	36.90	1.40	51.78	6.49	5.19	33.70	65.1	3	17.0
214.709	37.02	1.39	51.60	6.49	5.19	33.69	65.3	3	17.0
215.108	37.10	1.40	52.11	6.52	5.23	34.08	65.4	3	17.0
215.507	37.10	1.40	51.77	6.51	5.18	33.71	65.1	3	17.0
