67.972	39.86	0.00	00.00	0.00	0.00	00.00   00.0	1	0
68.372	20.64	1.72	35.51	4.92	4.26	20.96	59.0	1	35.8
68.770	10.15	4.46	45.25	5.74	5.06	29.06	64.2	1	40.0
69.168	14.31	3.14	44.88	5.88	5.18	30.46	67.9	1	30.0
69.566	13.08	3.96	51.83	6.33	5.65	35.79	69.1	1	35.0
69.964	13.82	3.79	52.41	6.42	5.73	36.84	70.3	1	37.7
70.362	13.75	3.82	52.48	6.47	5.72	37.03	70.6	1	37.7
70.760	13.83	3.79	52.45	6.47	5.72	37.04	70.6	1	37.3
71.158	13.52	3.82	51.61	6.44	5.75	36.99	71.7	1	37.7
71.556	13.92	3.78	52.67	6.47	5.71	36.92	70.1	1	37.7
71.954	13.86	3.80	52.67	6.43	5.71	36.74	69.8	1	37.5
72.352	13.55	3.83	51.90	6.48	5.74	37.17	71.6	1	37.9
72.750	13.73	3.83	52.65	6.47	5.73	37.09	70.4	1	37.9
73.148	13.66	3.87	52.82	6.49	5.75	37.27	70.6	1	37.9
73.546	13.48	3.88	52.33	6.46	5.71	36.92	70.5	1	37.9
73.944	13.58	3.93	53.40	6.50	5.73	37.28	69.8	1	38.4
74.342	13.39	3.99	53.42	6.49	5.76	37.39	70.0	1	38.4
74.740	13.40	3.96	53.47	6.51	5.76	37.49	70.6	1	38.4
75.138	13.41	4.01	53.77	6.51	5.77	37.58	69.9	1	38.8
75.536	13.28	4.02	53.39	6.53	5.77	37.67	70.6	1	38.8
75.934	13.41	3.98	53.41	6.49	5.78	37.51	70.2	1	38.4
76.332	13.46	3.96	53.58	6.51	5.75	37.46	70.3	1	38.2
76.730	13.54	3.92	53.81	6.50	5.74	37.31	70.3	1	38.0
77.128	13.56	3.87	53.51	6.49	5.74	37.30	71.0	1	37.9
77.526	13.29	3.91	53.89	6.50	5.77	37.49	72.2	1	38.2
77.924	13.51	3.89	53.51	6.49	5.74	37.29	71.0	1	37.9
78.322	13.78	3.85	53.09	6.46	5.75	37.15	70.0	1	37.9
78.720	13.57	3.89	52.77	6.53	5.78	37.71	71.5	1	37.9
79.118	13.58	3.86	52.37	6.49	5.75	37.35	71.3	1	37.7
79.516	13.75	3.84	52.87	6.46	5.73	37.05	70.1	1	37.9
79.914	13.35	3.93	52.45	6.49	5.76	37.37	71.2	1	38.2
