x0000,y0000
1.07,0.
1.462,0.
1.854,0.
2.246,0.
2.638,0.
3.031,0.
3.423,0.
3.815,0.
4.207,0.
4.6,0.
4.992,0.
5.384,0.
5.776,0.
6.4,0.
6.793,0.
7.185,0.
7.578,0.
8.148,0.
8.541,0.
8.933,0.
9.325,0.
9.717,0.
10.109,0.
10.654,0.
11.047,0.
11.942,27.1
12.339,27.1
12.737,27.1
13.135,36.5
13.532,36.5
13.929,36.5
14.326,20.8
14.724,20.8
15.122,20.8
15.52,29.5
15.918,29.5
16.316,29.5
16.714,29.5
17.112,29.5
17.51,29.5
17.908,21.3
18.306,21.3
18.704,21.3
19.102,37.
19.5,37.
19.898,37.
20.296,27.6
20.694,27.6
21.092,27.6
21.491,28.1
21.889,28.1
22.287,28.1
22.686,36.5
23.084,36.5
23.482,36.5
23.88,21.8
24.278,21.8
24.676,21.8
25.074,29.5
25.472,29.5
25.87,29.5
26.268,29.5
26.666,29.5
27.064,29.5
27.462,22.3
27.86,22.3
28.258,22.3
28.656,28.6
29.055,28.6
29.454,28.6
29.853,36.5
30.251,36.5
30.649,36.5
31.047,28.1
31.445,28.1
31.844,28.1
32.243,37.
32.641,37.
33.039,37.
33.437,22.8
33.835,22.8
34.233,22.8
34.631,29.5
35.03,29.5
35.429,29.5
35.828,29.
36.227,29.
36.626,29.
37.025,28.6
37.424,28.6
37.823,28.6
38.222,23.3
38.621,23.3
39.02,23.3
39.419,37.
39.817,37.
40.215,37.
40.613,22.8
41.011,22.8
41.409,22.8
41.807,29.1
42.205,29.1
42.604,29.1
43.003,29.1
43.402,36.5
43.8,36.5
44.198,36.5
44.596,29.
44.995,29.
45.394,29.
45.793,28.6
46.192,28.6
46.591,28.6
46.99,28.5
47.389,28.5
47.788,28.5
48.187,22.3
48.585,22.3
48.983,22.3
49.381,36.
49.779,36.
50.177,36.
50.575,28.
50.974,28.
51.373,28.
51.772,22.
52.17,22.
52.568,22.
52.966,28.4
53.365,28.4
53.764,28.4
54.163,35.5
54.561,35.5
54.959,35.5
55.357,28.4
55.756,28.4
56.155,28.4
56.554,28.5
56.953,28.5
57.352,28.5
57.751,22.5
58.15,22.5
58.548,22.5
58.946,35.
59.344,35.
59.742,35.
60.14,22.5
60.538,22.5
60.936,22.5
61.334,28.
61.733,28.
62.132,28.
62.531,27.9
62.93,27.9
63.329,27.9
63.728,34.5
64.126,34.5
64.524,34.5
64.922,27.9
65.32,27.9
65.719,27.9
66.118,27.5
66.517,27.5
66.916,27.5
67.315,34.
67.713,34.
68.111,34.
68.509,23.
68.907,23.
69.306,23.
69.705,28.
70.104,28.
70.503,28.
70.902,27.4
71.301,27.4
71.7,27.4
72.099,23.5
72.498,23.5
72.897,23.5
73.296,33.5
73.695,33.5
74.093,33.5
74.491,23.5
74.889,23.5
75.288,23.5
75.687,26.9
76.086,26.9
76.485,26.9
76.884,26.9
77.283,27.5
77.682,27.5
78.081,27.5
78.48,33.
78.878,33.
79.276,33.
79.674,27.5
80.073,27.5
80.472,27.5
80.871,27.5
81.27,27.5
81.669,27.5
82.068,27.5
82.467,27.5
82.866,27.5
83.265,27.5
83.664,27.5
84.063,27.5
84.462,27.5
84.861,27.5
85.26,27.5
85.659,27.5
86.058,27.5
86.457,27.5
86.856,27.5
87.255,27.5
87.654,27.5
88.053,27.5
88.452,27.5
88.851,27.5
89.25,27.5
89.649,27.5
90.048,27.5
90.447,27.5
90.846,27.5
91.245,27.5
91.644,27.5
92.043,27.5
92.442,27.5
92.841,27.5
93.24,27.5
93.639,27.5
94.038,27.5
94.437,27.5
94.836,27.5
95.235,27.5
95.634,27.5
96.033,27.5
96.432,27.5
96.831,27.5
97.23,27.5
97.629,27.5
98.028,27.5
98.427,27.5
98.826,27.5
99.225,27.5
99.624,27.5
100.023,27.5
100.423,27.5
100.823,27.5
101.223,27.5
101.623,27.5
102.023,27.5
102.423,27.5
102.823,27.5
103.223,27.5
103.623,27.5
104.023,27.5
104.423,27.5
104.823,27.5
105.223,27.5
