x0000,y0000
0.678,0.
1.07,0.
1.462,0.
1.854,0.
2.246,0.
2.638,0.
3.541,1.
3.933,2.
4.327,3.
4.721,5.
5.115,6.
5.509,7.
5.904,8.
6.299,10.
6.696,11.
7.093,12.
7.49,13.
7.887,15.
8.284,16.
8.681,17.
9.078,18.
9.475,20.
9.872,21.
10.269,22.
10.667,23.
11.065,25.
11.464,26.
11.863,27.
12.262,28.
12.662,30.
13.062,31.
13.461,32.
13.86,34.
14.259,35.
14.657,36.
15.055,37.
15.453,39.
15.851,40.
16.249,41.
16.647,42.
17.045,44.
17.443,45.
17.84,46.
18.237,47.
18.634,49.
19.031,50.
19.428,51.
19.825,52.
20.222,54.
20.619,55.
21.016,56.
21.413,58.
21.81,59.
22.207,60.
22.604,61.
23.001,63.
23.397,64.
23.793,65.
24.189,66.
24.585,68.
24.981,69.
25.376,70.
25.771,71.
26.166,73.
26.561,74.
26.956,75.
27.351,76.
27.746,78.
28.141,79.
28.536,80.
28.931,81.
29.326,83.
29.721,84.
30.116,85.
30.511,86.
30.906,88.
31.301,89.
31.696,90.
32.091,91.
32.486,93.
32.881,94.
33.276,0.
33.671,1.
34.413,0.
34.806,0.
35.2,0.
35.887,27.1
36.286,20.8
36.684,29.5
37.083,22.3
37.482,38.
37.88,30.1
38.28,36.5
38.678,29.5
39.077,29.5
39.477,38.
39.875,28.6
40.274,26.8
40.674,38.
41.073,28.8
41.472,36.5
41.871,28.6
42.27,30.1
42.67,28.5
43.07,28.5
43.469,28.6
43.869,36.5
44.268,27.1
44.667,28.5
45.066,35.5
45.464,28.6
45.864,34.
46.263,28.6
46.662,32.5
47.061,28.5
47.461,25.3
47.86,32.1
48.259,29.5
48.659,28.5
49.059,30.6
49.459,30.6
49.859,29.5
50.259,30.5
50.659,29.5
51.059,30.6
51.459,29.8
51.859,29.8
52.259,29.8
52.659,29.8
53.059,29.8
53.459,29.8
53.859,29.8
54.259,29.8
54.659,29.8
55.059,29.8
55.459,29.8
55.859,29.8
56.259,29.8
56.659,29.8
57.059,29.8
57.459,29.8
57.859,29.8
58.259,29.8
58.659,29.8
59.059,29.8
59.459,29.8
59.859,29.8
60.259,29.8
60.659,29.8
61.059,29.8
61.459,29.8
61.859,29.8
62.259,29.8
62.659,29.8
63.059,29.8
63.459,29.8
63.859,29.8
64.259,29.8
64.659,29.8
65.059,29.8
65.459,29.8
65.859,29.8
66.259,29.8
66.659,29.8
67.059,29.8
67.459,29.8
67.859,29.8
68.259,29.8
68.659,29.8
69.059,29.8
69.459,29.8
69.859,29.8
70.259,29.8
70.659,29.8
71.059,29.8
71.459,29.8
71.859,29.8
72.259,29.8
72.659,29.8
73.059,29.8
73.459,29.8
73.859,29.8
74.259,29.8
74.659,29.8
75.059,29.8
75.459,29.8
75.859,29.8
76.259,29.8
76.659,29.8
77.059,29.8
77.459,29.8
77.859,29.8
78.259,29.8
78.659,29.8
79.059,29.8
79.459,29.8
79.859,29.8
80.259,29.8
80.659,29.8
81.059,29.8
81.459,29.8
81.859,29.8
82.259,29.8
82.659,29.8
83.059,29.8
83.459,29.8
83.859,29.8
84.259,29.8
84.659,29.8
85.059,29.8
85.459,29.8
85.859,29.8
86.259,29.8
86.659,29.8
87.059,29.8
87.459,29.8
87.859,29.8
88.259,29.8
