x0000,y0000
11.942,36.42
12.339,37.56
12.737,39.45
13.135,20.34
13.532,20.46
13.929,21.56
14.326,67.41
14.724,69.61
15.122,70.48
15.52,46.16
15.918,46.75
16.316,47.72
16.714,48.59
17.112,50.
17.51,53.69
17.908,77.72
18.306,80.05
18.704,81.4
19.102,44.58
19.5,41.25
19.898,43.3
20.296,91.24
20.694,98.65
21.092,100.39
21.491,98.3
21.889,98.73
22.287,100.4
22.686,57.51
23.084,46.61
23.482,43.87
23.88,83.14
24.278,87.46
24.676,88.22
25.074,87.34
25.472,90.33
25.87,93.71
26.268,94.91
26.666,94.38
27.064,95.44
27.462,97.21
27.86,94.38
28.258,94.35
28.656,104.88
29.055,106.45
29.454,107.71
29.853,72.94
30.251,57.76
30.649,57.46
31.047,92.96
31.445,109.63
31.844,110.17
32.243,78.36
32.641,57.25
33.039,56.15
33.437,86.53
33.835,98.83
34.233,99.03
34.631,103.24
35.03,102.58
35.429,102.84
35.828,105.59
36.227,107.64
36.626,107.44
37.025,108.54
37.424,109.75
37.823,109.89
38.222,109.48
38.621,102.94
39.02,102.56
39.419,97.
39.817,58.75
40.215,57.45
40.613,62.71
41.011,98.9
41.409,99.03
41.807,99.43
42.205,107.3
42.604,107.24
43.003,107.26
43.402,62.39
43.8,59.56
44.198,59.83
44.596,106.54
44.995,108.86
45.394,108.94
45.793,111.15
46.192,110.92
46.591,111.18
46.99,111.34
47.389,111.42
47.788,111.3
48.187,97.45
48.585,95.97
48.983,95.68
49.381,66.67
49.779,62.58
50.177,62.4
50.575,108.91
50.974,114.05
51.373,113.5
51.772,97.28
52.17,94.56
52.568,94.3
52.966,110.53
53.365,111.5
53.764,111.7
54.163,70.5
54.561,65.38
54.959,65.1
55.357,105.24
55.756,111.55
56.155,111.22
56.554,110.74
56.953,111.32
57.352,111.17
57.751,100.83
58.15,97.7
58.548,97.92
58.946,77.65
59.344,67.8
59.742,66.4
60.14,95.24
60.538,97.85
60.936,97.71
61.334,110.47
61.733,112.71
62.132,112.72
62.531,112.99
62.93,113.02
63.329,113.56
63.728,83.25
64.126,69.69
64.524,68.79
64.922,97.55
65.32,111.77
65.719,112.73
66.118,113.72
66.517,113.97
66.916,113.95
67.315,92.98
67.713,72.95
68.111,72.29
68.509,91.22
68.907,100.66
69.306,100.7
69.705,106.58
70.104,111.87
70.503,112.44
70.902,112.84
71.301,113.46
71.7,113.43
72.099,111.36
72.498,104.37
72.897,103.98
73.296,101.73
73.695,74.28
74.093,74.09
74.491,76.46
74.889,103.12
