x0000,y0000
91.566,64.25
91.963,93.53
92.361,111.95
92.76,132.1
93.159,99.04
93.557,127.17
93.956,117.05
94.355,104.01
94.754,132.34
95.154,111.53
95.553,119.97
95.952,125.99
96.351,130.47
96.75,110.74
97.149,94.1
97.547,129.36
97.946,121.22
98.345,130.87
98.744,100.24
99.143,130.21
99.542,106.21
99.941,124.06
100.34,113.69
100.74,116.32
101.14,129.82
101.54,123.57
101.94,121.
102.34,124.71
102.74,129.9
103.14,129.04
103.54,132.14
103.94,122.29
104.34,120.74
104.74,130.7
105.14,131.74
105.54,126.39
105.94,125.13
106.34,131.49
106.741,129.23
107.142,128.74
107.543,128.38
107.944,128.52
108.345,128.35
108.746,129.03
109.147,127.92
109.548,127.97
109.949,128.71
110.35,128.7
110.751,128.57
111.152,128.77
111.553,129.01
111.954,128.65
112.355,128.16
112.756,129.75
113.157,130.
113.558,130.05
113.959,130.09
114.36,129.5
114.761,129.63
115.162,129.66
115.563,128.84
115.964,129.7
116.365,129.17
116.766,128.28
117.167,127.82
117.568,127.79
117.969,128.35
118.37,128.
118.771,128.05
119.172,128.21
119.573,128.2
119.974,128.77
120.375,129.
120.776,129.18
121.177,129.74
121.578,128.95
121.979,128.71
122.38,129.38
122.781,129.55
123.182,130.07
123.583,129.69
123.984,130.75
124.385,130.45
124.786,130.46
125.187,130.8
125.588,130.02
125.989,131.26
126.39,129.99
126.791,130.72
127.192,130.24
127.593,130.82
127.993,131.28
128.393,131.39
128.793,131.24
129.193,130.9
129.593,131.36
129.993,131.42
130.393,131.25
130.793,131.82
131.193,130.8
131.593,131.85
131.993,131.68
132.393,131.57
132.793,131.69
133.193,132.19
133.593,132.14
133.993,131.66
134.393,131.94
134.793,132.09
135.193,132.68
135.593,132.39
135.993,132.71
136.393,132.15
136.793,132.72
137.193,133.24
137.593,132.95
137.993,133.03
