x0000,y0000
35.887,103.15
36.286,96.21
36.684,123.11
37.083,116.97
37.482,84.73
37.88,127.59
38.28,91.32
38.678,121.93
39.077,130.69
39.477,95.04
39.875,124.18
40.274,127.07
40.674,121.06
41.073,120.04
41.472,118.65
41.871,123.38
42.27,127.6
42.67,130.91
43.07,111.96
43.469,130.56
43.869,104.82
44.268,123.37
44.667,122.99
45.066,98.22
45.464,130.01
45.864,118.39
46.263,124.7
46.662,125.04
47.061,127.99
47.461,126.49
47.86,120.31
48.259,131.46
48.659,131.61
49.059,128.37
49.459,127.71
49.859,131.43
50.259,128.6
50.659,130.94
51.059,130.39
51.459,130.17
51.859,130.96
52.259,130.91
52.659,130.46
53.059,130.78
53.459,130.8
53.859,129.6
54.259,130.72
54.659,130.55
55.059,130.7
55.459,129.55
55.859,130.17
56.259,129.69
56.659,129.81
57.059,131.18
57.459,130.75
57.859,130.2
58.259,131.01
58.659,130.6
59.059,131.33
59.459,130.51
59.859,131.05
60.259,130.32
60.659,130.85
61.059,130.79
61.459,131.78
61.859,130.57
62.259,130.88
62.659,130.79
63.059,131.48
63.459,130.66
63.859,130.88
64.259,131.49
64.659,131.69
65.059,131.04
65.459,131.3
65.859,131.92
66.259,131.81
66.659,131.07
67.059,131.34
67.459,131.64
67.859,132.08
68.259,131.39
68.659,132.12
69.059,131.57
69.459,131.21
69.859,132.05
70.259,131.51
70.659,132.09
71.059,131.9
71.459,131.4
71.859,131.63
72.259,131.58
72.659,131.48
73.059,131.44
73.459,130.84
73.859,132.33
74.259,130.92
74.659,131.66
75.059,131.21
75.459,131.34
75.859,131.5
76.259,132.
76.659,131.08
77.059,131.26
77.459,130.66
77.859,131.95
78.259,131.38
78.659,131.51
79.059,130.66
79.459,131.63
79.859,130.66
80.259,131.19
80.659,131.23
81.059,131.56
81.459,131.43
81.859,132.44
82.259,131.44
82.659,132.11
83.059,132.23
83.459,132.08
83.859,131.5
84.259,132.07
84.659,131.65
85.059,131.37
85.459,131.53
85.859,131.06
86.259,131.44
86.659,132.45
87.059,131.53
87.459,132.2
87.859,132.21
88.259,132.39
